1107,1,1,964,-61,-690,1671019534585530.00 ,1671019534585530.00 ,1671019534585530.00 ,,,
1208,1,1,3288,-48,130,1671019534586690.00 ,1671019534586690.00 ,1671019534586690.00 ,,,
1107,1,1,868,-61,0,1671019534592530.00 ,1671019534592530.00 ,1671019534592530.00 ,,,
1208,1,1,3284,-48,156,1671019534594510.00 ,1671019534594510.00 ,1671019534594510.00 ,,,
1107,2,1,56,-57,78,1671019534606370.00 ,1671019534606370.00 ,1671019534606370.00 ,,,
1208,2,1,3404,-47,182,1671019534607480.00 ,1671019534607480.00 ,1671019534607480.00 ,,,
1208,2,1,3396,-47,208,1671019534611250.00 ,1671019534611250.00 ,1671019534611250.00 ,,,
1107,2,1,52,-57,26,1671019534612990.00 ,1671019534612990.00 ,1671019534612990.00 ,,,
1107,1,1,872,-61,143,1671019534640400.00 ,1671019534640400.00 ,1671019534640400.00 ,,,
1208,1,1,3308,-48,182,1671019534641990.00 ,1671019534641990.00 ,1671019534641990.00 ,,,
1208,1,1,3292,-48,156,1671019534646030.00 ,1671019534646030.00 ,1671019534646030.00 ,,,
1107,1,1,824,-61,299,1671019534648090.00 ,1671019534648090.00 ,1671019534648090.00 ,,,
1208,2,1,3416,-47,104,1671019534660360.00 ,1671019534660360.00 ,1671019534660360.00 ,,,
1107,2,1,72,-56,52,1671019534661900.00 ,1671019534661900.00 ,1671019534661900.00 ,,,
1208,2,1,3412,-47,104,1671019534665150.00 ,1671019534665150.00 ,1671019534665150.00 ,,,
1107,2,1,48,-57,117,1671019534666250.00 ,1671019534666250.00 ,1671019534666250.00 ,,,
1107,1,1,824,-62,1966,1671019534691580.00 ,1671019534691580.00 ,1671019534691580.00 ,,,
1208,1,1,3284,-48,156,1671019534694400.00 ,1671019534694400.00 ,1671019534694400.00 ,,,
1107,1,1,888,-60,0,1671019534697290.00 ,1671019534697290.00 ,1671019534697290.00 ,,,
1208,1,1,3292,-48,130,1671019534699510.00 ,1671019534699510.00 ,1671019534699510.00 ,,,
1208,2,1,3412,-47,78,1671019534710200.00 ,1671019534710200.00 ,1671019534710200.00 ,,,
1107,2,1,48,-56,169,1671019534712140.00 ,1671019534712140.00 ,1671019534712140.00 ,,,
1208,2,1,3412,-47,104,1671019534716470.00 ,1671019534716470.00 ,1671019534716470.00 ,,,
1107,2,1,56,-57,169,1671019534717530.00 ,1671019534717530.00 ,1671019534717530.00 ,,,
1208,1,1,3296,-48,130,1671019534743640.00 ,1671019534743640.00 ,1671019534743640.00 ,,,
1107,1,1,836,-61,0,1671019534745530.00 ,1671019534745530.00 ,1671019534745530.00 ,,,
1208,1,1,3292,-48,104,1671019534748400.00 ,1671019534748400.00 ,1671019534748400.00 ,,,
1107,1,1,884,-61,-52,1671019534750080.00 ,1671019534750080.00 ,1671019534750080.00 ,,,
1208,2,1,3408,-47,156,1671019534761000.00 ,1671019534761000.00 ,1671019534761000.00 ,,,
1107,2,1,44,-57,273,1671019534763760.00 ,1671019534763760.00 ,1671019534763760.00 ,,,
1208,2,1,3400,-47,234,1671019534768030.00 ,1671019534768030.00 ,1671019534768030.00 ,,,
1107,2,1,56,-57,221,1671019534769740.00 ,1671019534769740.00 ,1671019534769740.00 ,,,
1107,1,1,888,-61,-143,1671019534792760.00 ,1671019534792760.00 ,1671019534792760.00 ,,,
1208,1,1,3304,-48,78,1671019534794460.00 ,1671019534794460.00 ,1671019534794460.00 ,,,
1107,1,1,884,-61,-143,1671019534799660.00 ,1671019534799660.00 ,1671019534799660.00 ,,,
1208,1,1,3292,-48,130,1671019534801020.00 ,1671019534801020.00 ,1671019534801020.00 ,,,
1208,2,1,3412,-47,182,1671019534811740.00 ,1671019534811740.00 ,1671019534811740.00 ,,,
