1208,1,1,192,-49,52,1671104144675920.00 ,1671104144675920.00 ,1671104144675920.00 ,,
1107,1,1,2376,-60,52,1671104144678150.00 ,1671104144678150.00 ,1671104144678150.00 ,,
1208,1,1,208,-49,-156,1671104144681950.00 ,1671104144681950.00 ,1671104144681950.00 ,,
1107,1,1,2388,-60,26,1671104144684700.00 ,1671104144684700.00 ,1671104144684700.00 ,,
1208,2,1,3632,-49,0,1671104144694470.00 ,1671104144694470.00 ,1671104144694470.00 ,,
1107,2,1,248,-56,26,1671104144696150.00 ,1671104144696150.00 ,1671104144696150.00 ,,
1107,2,1,240,-56,52,1671104144700440.00 ,1671104144700440.00 ,1671104144700440.00 ,,
1208,2,1,3636,-49,78,1671104144701560.00 ,1671104144701560.00 ,1671104144701560.00 ,,
1208,1,1,176,-49,52,1671104144726360.00 ,1671104144726360.00 ,1671104144726360.00 ,,
1107,1,1,2376,-60,195,1671104144728260.00 ,1671104144728260.00 ,1671104144728260.00 ,,
1208,1,1,180,-49,78,1671104144734920.00 ,1671104144734920.00 ,1671104144734920.00 ,,
1107,1,1,2412,-60,-52,1671104144736490.00 ,1671104144736490.00 ,1671104144736490.00 ,,
1107,2,1,248,-56,78,1671104144748350.00 ,1671104144748350.00 ,1671104144748350.00 ,,
1208,2,1,3640,-49,26,1671104144749480.00 ,1671104144749480.00 ,1671104144749480.00 ,,
1208,2,1,3652,-49,-26,1671104144752610.00 ,1671104144752610.00 ,1671104144752610.00 ,,
1107,2,1,252,-56,117,1671104144754960.00 ,1671104144754960.00 ,1671104144754960.00 ,,
1107,1,1,2404,-61,-117,1671104144778130.00 ,1671104144778130.00 ,1671104144778130.00 ,,
1208,1,1,180,-49,156,1671104144780510.00 ,1671104144780510.00 ,1671104144780510.00 ,,
1208,1,1,180,-49,52,1671104144784610.00 ,1671104144784610.00 ,1671104144784610.00 ,,
1107,1,1,2372,-60,221,1671104144785900.00 ,1671104144785900.00 ,1671104144785900.00 ,,
1208,2,1,3636,-49,78,1671104144798770.00 ,1671104144798770.00 ,1671104144798770.00 ,,
1107,2,1,236,-56,247,1671104144800270.00 ,1671104144800270.00 ,1671104144800270.00 ,,
1208,2,1,3648,-49,-26,1671104144805170.00 ,1671104144805170.00 ,1671104144805170.00 ,,
1107,2,1,236,-56,247,1671104144806690.00 ,1671104144806690.00 ,1671104144806690.00 ,,
1208,1,1,180,-49,0,1671104144829690.00 ,1671104144829690.00 ,1671104144829690.00 ,,
1107,1,1,2388,-60,52,1671104144831010.00 ,1671104144831010.00 ,1671104144831010.00 ,,
1107,1,1,2192,-58,1497,1671104144838280.00 ,1671104144838280.00 ,1671104144838280.00 ,,
1208,1,1,164,-49,208,1671104144839530.00 ,1671104144839530.00 ,1671104144839530.00 ,,
1208,2,1,3652,-49,-78,1671104144850450.00 ,1671104144850450.00 ,1671104144850450.00 ,,
1107,2,1,256,-56,78,1671104144852610.00 ,1671104144852610.00 ,1671104144852610.00 ,,
1208,2,1,3644,-49,0,1671104144857260.00 ,1671104144857260.00 ,1671104144857260.00 ,,
