1208,1,1,3100,-49,130,1671022330667480.00 ,1671022330667480.00 ,1671022330667480.00 ,,
1107,1,1,916,-62,299,1671022330670800.00 ,1671022330670800.00 ,1671022330670800.00 ,,
1208,1,1,3116,-49,78,1671022330672550.00 ,1671022330672550.00 ,1671022330672550.00 ,,
1107,2,1,112,-56,78,1671022330683320.00 ,1671022330683320.00 ,1671022330683320.00 ,,
1208,2,1,3364,-48,26,1671022330685520.00 ,1671022330685520.00 ,1671022330685520.00 ,,
1208,2,1,3360,-48,0,1671022330689040.00 ,1671022330689040.00 ,1671022330689040.00 ,,
1107,2,1,128,-56,-78,1671022330690100.00 ,1671022330690100.00 ,1671022330690100.00 ,,
1107,1,1,952,-63,143,1671022330717320.00 ,1671022330717320.00 ,1671022330717320.00 ,,
1208,1,1,3120,-49,0,1671022330718780.00 ,1671022330718780.00 ,1671022330718780.00 ,,
1107,1,1,972,-63,117,1671022330722760.00 ,1671022330722760.00 ,1671022330722760.00 ,,
1208,1,1,3108,-49,78,1671022330725600.00 ,1671022330725600.00 ,1671022330725600.00 ,,
1208,2,1,3348,-48,156,1671022330736610.00 ,1671022330736610.00 ,1671022330736610.00 ,,
1107,2,1,112,-56,195,1671022330737940.00 ,1671022330737940.00 ,1671022330737940.00 ,,
1107,2,1,112,-56,169,1671022330742280.00 ,1671022330742280.00 ,1671022330742280.00 ,,
1208,2,1,3348,-48,182,1671022330743420.00 ,1671022330743420.00 ,1671022330743420.00 ,,
1208,1,1,3108,-49,78,1671022330767410.00 ,1671022330767410.00 ,1671022330767410.00 ,,
1107,1,1,936,-62,117,1671022330769100.00 ,1671022330769100.00 ,1671022330769100.00 ,,
1107,1,1,976,-63,416,1671022330774320.00 ,1671022330774320.00 ,1671022330774320.00 ,,
1208,1,1,3116,-49,52,1671022330775690.00 ,1671022330775690.00 ,1671022330775690.00 ,,
1208,2,1,3368,-48,78,1671022330787980.00 ,1671022330787980.00 ,1671022330787980.00 ,,
1107,2,1,136,-56,-52,1671022330789280.00 ,1671022330789280.00 ,1671022330789280.00 ,,
1208,2,1,3372,-48,0,1671022330796020.00 ,1671022330796020.00 ,1671022330796020.00 ,,
1107,2,1,172,-56,-273,1671022330797130.00 ,1671022330797130.00 ,1671022330797130.00 ,,
1107,1,1,904,-63,585,1671022330821460.00 ,1671022330821460.00 ,1671022330821460.00 ,,
1208,1,1,3136,-49,0,1671022330822580.00 ,1671022330822580.00 ,1671022330822580.00 ,,
1107,1,1,984,-63,-78,1671022330826100.00 ,1671022330826100.00 ,1671022330826100.00 ,,
1208,1,1,3116,-49,78,1671022330827660.00 ,1671022330827660.00 ,1671022330827660.00 ,,
1107,2,1,112,-55,-26,1671022330839690.00 ,1671022330839690.00 ,1671022330839690.00 ,,
1208,2,1,3368,-48,78,1671022330840770.00 ,1671022330840770.00 ,1671022330840770.00 ,,
1208,2,1,3356,-48,156,1671022330847720.00 ,1671022330847720.00 ,1671022330847720.00 ,,
1107,2,1,128,-56,78,1671022330850310.00 ,1671022330850310.00 ,1671022330850310.00 ,,
1107,1,1,932,-63,52,1671022330874180.00 ,1671022330874180.00 ,1671022330874180.00 ,,
1208,1,1,3120,-49,78,1671022330875300.00 ,1671022330875300.00 ,1671022330875300.00 ,,
1208,1,1,3132,-49,-78,1671022330878710.00 ,1671022330878710.00 ,1671022330878710.00 ,,
1107,1,1,964,-63,26,1671022330880220.00 ,1671022330880220.00 ,1671022330880220.00 ,,
1107,2,1,108,-56,442,1671022330893360.00 ,1671022330893360.00 ,1671022330893360.00 ,,
1208,2,1,3368,-48,130,1671022330894470.00 ,1671022330894470.00 ,1671022330894470.00 ,,
1107,2,1,132,-56,117,1671022330898640.00 ,1671022330898640.00 ,1671022330898640.00 ,,
1208,2,1,3372,-48,52,1671022330900580.00 ,1671022330900580.00 ,1671022330900580.00 ,,
1208,1,1,3144,-49,-78,1671022330924510.00 ,1671022330924510.00 ,1671022330924510.00 ,,
1107,1,1,940,-63,494,1671022330925740.00 ,1671022330925740.00 ,1671022330925740.00 ,,
1208,1,1,3120,-49,104,1671022330930220.00 ,1671022330930220.00 ,1671022330930220.00 ,,
1107,1,1,952,-63,247,1671022330931310.00 ,1671022330931310.00 ,1671022330931310.00 ,,
1208,2,1,3364,-48,156,1671022330943580.00 ,1671022330943580.00 ,1671022330943580.00 ,,
1107,2,1,136,-56,-26,1671022330945520.00 ,1671022330945520.00 ,1671022330945520.00 ,,
1208,2,1,3372,-48,26,1671022330950870.00 ,1671022330950870.00 ,1671022330950870.00 ,,
1107,2,1,88,-56,364,1671022330952580.00 ,1671022330952580.00 ,1671022330952580.00 ,,
1107,1,1,968,-63,143,1671022330975080.00 ,1671022330975080.00 ,1671022330975080.00 ,,
1208,1,1,3124,-49,78,1671022330977050.00 ,1671022330977050.00 ,1671022330977050.00 ,,
1208,1,1,3128,-49,26,1671022330981050.00 ,1671022330981050.00 ,1671022330981050.00 ,,
1107,1,1,968,-63,299,1671022330983020.00 ,1671022330983020.00 ,1671022330983020.00 ,,
1208,2,1,3364,-48,104,1671022330994470.00 ,1671022330994470.00 ,1671022330994470.00 ,,
1107,2,1,140,-56,-143,1671022330995740.00 ,1671022330995740.00 ,1671022330995740.00 ,,
1107,2,1,136,-56,78,1671022331001090.00 ,1671022331001090.00 ,1671022331001090.00 ,,
1208,2,1,3368,-48,104,1671022331002470.00 ,1671022331002470.00 ,1671022331002470.00 ,,
1208,1,1,3120,-49,26,1671022331025410.00 ,1671022331025410.00 ,1671022331025410.00 ,,
