1107,1,1,888,-61,-338,1671017902145870.00 ,1671017902145870.00 ,1671017902145870.00 ,
1208,1,1,3216,-49,-26,1671017902147660.00 ,1671017902147660.00 ,1671017902147660.00 ,
1208,1,1,3204,-49,156,1671017902152450.00 ,1671017902152450.00 ,1671017902152450.00 ,
1107,1,1,928,-61,-78,1671017902154630.00 ,1671017902154630.00 ,1671017902154630.00 ,
1208,2,1,3352,-47,156,1671017902166890.00 ,1671017902166890.00 ,1671017902166890.00 ,
1107,2,1,68,-56,-169,1671017902169440.00 ,1671017902169440.00 ,1671017902169440.00 ,
1208,2,1,3360,-47,104,1671017902173950.00 ,1671017902173950.00 ,1671017902173950.00 ,
1107,2,1,44,-56,-26,1671017902175030.00 ,1671017902175030.00 ,1671017902175030.00 ,
1208,1,1,3208,-49,78,1671017902198180.00 ,1671017902198180.00 ,1671017902198180.00 ,
1107,1,1,876,-62,273,1671017902200110.00 ,1671017902200110.00 ,1671017902200110.00 ,
1208,1,1,3196,-49,104,1671017902206040.00 ,1671017902206040.00 ,1671017902206040.00 ,
1107,1,1,908,-61,-78,1671017902207140.00 ,1671017902207140.00 ,1671017902207140.00 ,
1208,2,1,3360,-47,78,1671017902218970.00 ,1671017902218970.00 ,1671017902218970.00 ,
1107,2,1,24,-56,247,1671017902220910.00 ,1671017902220910.00 ,1671017902220910.00 ,
1107,2,1,28,-56,221,1671017902226160.00 ,1671017902226160.00 ,1671017902226160.00 ,
1208,2,1,3360,-47,156,1671017902227440.00 ,1671017902227440.00 ,1671017902227440.00 ,
1208,1,1,3192,-49,130,1671017902251960.00 ,1671017902251960.00 ,1671017902251960.00 ,
1107,1,1,924,-61,-52,1671017902253330.00 ,1671017902253330.00 ,1671017902253330.00 ,
1208,1,1,3212,-49,104,1671017902263750.00 ,1671017902263750.00 ,1671017902263750.00 ,
1107,1,1,888,-62,221,1671017902266580.00 ,1671017902266580.00 ,1671017902266580.00 ,
1107,2,1,40,-56,26,1671017902278180.00 ,1671017902278180.00 ,1671017902278180.00 ,
1208,2,1,3348,-47,208,1671017902279910.00 ,1671017902279910.00 ,1671017902279910.00 ,
1208,2,1,3368,-47,78,1671017902284210.00 ,1671017902284210.00 ,1671017902284210.00 ,
1107,2,1,32,-56,169,1671017902285620.00 ,1671017902285620.00 ,1671017902285620.00 ,
1208,1,1,3204,-49,0,1671017902309860.00 ,1671017902309860.00 ,1671017902309860.00 ,
1107,1,1,884,-62,117,1671017902311030.00 ,1671017902311030.00 ,1671017902311030.00 ,
1208,1,1,3204,-49,130,1671017902316590.00 ,1671017902316590.00 ,1671017902316590.00 ,
1107,1,1,896,-63,143,1671017902318530.00 ,1671017902318530.00 ,1671017902318530.00 ,
1107,2,1,52,-56,26,1671017902328980.00 ,1671017902328980.00 ,1671017902328980.00 ,
1208,2,1,3364,-47,130,1671017902330330.00 ,1671017902330330.00 ,1671017902330330.00 ,
1208,2,1,3368,-47,104,1671017902335920.00 ,1671017902335920.00 ,1671017902335920.00 ,
1107,2,1,48,-56,78,1671017902337420.00 ,1671017902337420.00 ,1671017902337420.00 ,
1107,1,1,896,-61,299,1671017902361640.00 ,1671017902361640.00 ,1671017902361640.00 ,
1208,1,1,3220,-49,-26,1671017902365020.00 ,1671017902365020.00 ,1671017902365020.00 ,
1208,1,1,3184,-49,156,1671017902374030.00 ,1671017902374030.00 ,1671017902374030.00 ,
1107,1,1,848,-61,364,1671017902375160.00 ,1671017902375160.00 ,1671017902375160.00 ,
1208,2,1,3348,-47,234,1671017902385240.00 ,1671017902385240.00 ,1671017902385240.00 ,
1107,2,1,68,-56,-117,1671017902386300.00 ,1671017902386300.00 ,1671017902386300.00 ,
1208,2,1,3372,-47,78,1671017902392170.00 ,1671017902392170.00 ,1671017902392170.00 ,
1107,2,1,32,-56,221,1671017902393840.00 ,1671017902393840.00 ,1671017902393840.00 ,
1208,1,1,3200,-49,130,1671017902420050.00 ,1671017902420050.00 ,1671017902420050.00 ,
1107,1,1,944,-61,-169,1671017902421350.00 ,1671017902421350.00 ,1671017902421350.00 ,
1208,1,1,3204,-49,130,1671017902425080.00 ,1671017902425080.00 ,1671017902425080.00 ,
1107,1,1,848,-61,690,1671017902427660.00 ,1671017902427660.00 ,1671017902427660.00 ,
1208,2,1,3360,-47,182,1671017902437500.00 ,1671017902437500.00 ,1671017902437500.00 ,
1107,2,1,52,-56,143,1671017902438910.00 ,1671017902438910.00 ,1671017902438910.00 ,
1107,2,1,44,-56,169,1671017902442920.00 ,1671017902442920.00 ,1671017902442920.00 ,
1208,2,1,3368,-47,130,1671017902445340.00 ,1671017902445340.00 ,1671017902445340.00 ,
1208,1,1,3216,-49,0,1671017902469010.00 ,1671017902469010.00 ,1671017902469010.00 ,
1107,1,1,860,-61,494,1671017902470960.00 ,1671017902470960.00 ,1671017902470960.00 ,
1107,1,1,936,-62,-52,1671017902477910.00 ,1671017902477910.00 ,1671017902477910.00 ,
1208,1,1,3212,-49,26,1671017902479420.00 ,1671017902479420.00 ,1671017902479420.00 ,
1107,2,1,52,-56,169,1671017902490940.00 ,1671017902490940.00 ,1671017902490940.00 ,
1208,2,1,3356,-47,156,1671017902493300.00 ,1671017902493300.00 ,1671017902493300.00 ,
1107,2,1,48,-56,0,1671017902496420.00 ,1671017902496420.00 ,1671017902496420.00 ,
1208,2,1,3360,-47,182,1671017902497520.00 ,1671017902497520.00 ,1671017902497520.00 ,
1107,1,1,864,-62,338,1671017902522540.00 ,1671017902522540.00 ,1671017902522540.00 ,
