1107,1,1,584,-65,247,1670844895405780.00 ,1670844895405780.00 ,1670844895405780.00 
1208,1,1,3708,-57,-78,1670844895406890.00 ,1670844895406890.00 ,1670844895406890.00 
1208,1,1,3708,-57,78,1670844895412240.00 ,1670844895412240.00 ,1670844895412240.00 
1107,1,1,560,-65,442,1670844895414190.00 ,1670844895414190.00 ,1670844895414190.00 
1107,2,1,200,-56,-833,1670844895425160.00 ,1670844895425160.00 ,1670844895425160.00 
1208,2,1,3584,-51,-78,1670844895426940.00 ,1670844895426940.00 ,1670844895426940.00 
1208,2,1,3552,-52,208,1670844895431660.00 ,1670844895431660.00 ,1670844895431660.00 
1107,2,1,60,-56,299,1670844895434030.00 ,1670844895434030.00 ,1670844895434030.00 
1208,1,1,3744,-57,-156,1670844895456900.00 ,1670844895456900.00 ,1670844895456900.00 
1107,1,1,620,-65,117,1670844895459460.00 ,1670844895459460.00 ,1670844895459460.00 
1208,1,1,3704,-57,-26,1670844895464750.00 ,1670844895464750.00 ,1670844895464750.00 
1107,1,1,612,-65,26,1670844895466460.00 ,1670844895466460.00 ,1670844895466460.00 
1208,2,1,3560,-52,104,1670844895476070.00 ,1670844895476070.00 ,1670844895476070.00 
1107,2,1,84,-56,52,1670844895477750.00 ,1670844895477750.00 ,1670844895477750.00 
1208,2,1,3580,-51,52,1670844895483480.00 ,1670844895483480.00 ,1670844895483480.00 
1107,2,1,4,-56,494,1670844895484950.00 ,1670844895484950.00 ,1670844895484950.00 
1208,1,1,3724,-57,-78,1670844895508840.00 ,1670844895508840.00 ,1670844895508840.00 
1107,1,1,596,-65,221,1670844895509960.00 ,1670844895509960.00 ,1670844895509960.00 
1107,1,1,584,-65,390,1670844895513390.00 ,1670844895513390.00 ,1670844895513390.00 
1208,1,1,3708,-57,0,1670844895515630.00 ,1670844895515630.00 ,1670844895515630.00 
1208,2,1,3576,-51,104,1670844895526080.00 ,1670844895526080.00 ,1670844895526080.00 
1107,2,1,52,-56,273,1670844895528010.00 ,1670844895528010.00 ,1670844895528010.00 
1107,2,1,68,-56,117,1670844895532730.00 ,1670844895532730.00 ,1670844895532730.00 
1208,2,1,3572,-51,130,1670844895534850.00 ,1670844895534850.00 ,1670844895534850.00 
1107,1,1,628,-65,-143,1670844895557470.00 ,1670844895557470.00 ,1670844895557470.00 
1208,1,1,3712,-57,0,1670844895559660.00 ,1670844895559660.00 ,1670844895559660.00 
1208,1,1,3708,-57,-52,1670844895563730.00 ,1670844895563730.00 ,1670844895563730.00 
1107,1,1,608,-65,273,1670844895564810.00 ,1670844895564810.00 ,1670844895564810.00 
1208,2,1,3564,-52,78,1670844895577520.00 ,1670844895577520.00 ,1670844895577520.00 
1107,2,1,52,-56,221,1670844895579250.00 ,1670844895579250.00 ,1670844895579250.00 
1208,2,1,3576,-51,26,1670844895583280.00 ,1670844895583280.00 ,1670844895583280.00 
1107,2,1,4,-56,690,1670844895585270.00 ,1670844895585270.00 ,1670844895585270.00 
1107,1,1,612,-66,338,1670844895609240.00 ,1670844895609240.00 ,1670844895609240.00 
1208,1,1,3712,-57,-26,1670844895610720.00 ,1670844895610720.00 ,1670844895610720.00 
1208,1,1,3712,-57,-130,1670844895616640.00 ,1670844895616640.00 ,1670844895616640.00 
1107,1,1,588,-65,117,1670844895618250.00 ,1670844895618250.00 ,1670844895618250.00 
1107,2,1,68,-56,169,1670844895628450.00 ,1670844895628450.00 ,1670844895628450.00 
1208,2,1,3568,-51,26,1670844895631860.00 ,1670844895631860.00 ,1670844895631860.00 
1208,2,1,3556,-51,208,1670844895636820.00 ,1670844895636820.00 ,1670844895636820.00 
1107,2,1,100,-56,-221,1670844895637960.00 ,1670844895637960.00 ,1670844895637960.00 
1208,1,1,3708,-57,-52,1670844895663100.00 ,1670844895663100.00 ,1670844895663100.00 
1107,1,1,556,-66,690,1670844895665570.00 ,1670844895665570.00 ,1670844895665570.00 
1208,1,1,3732,-57,-104,1670844895671220.00 ,1670844895671220.00 ,1670844895671220.00 
1107,1,1,628,-65,-78,1670844895672460.00 ,1670844895672460.00 ,1670844895672460.00 
1208,2,1,3588,-51,-26,1670844895681820.00 ,1670844895681820.00 ,1670844895681820.00 
1107,2,1,44,-56,416,1670844895684840.00 ,1670844895684840.00 ,1670844895684840.00 
1208,2,1,3500,-51,546,1670844895689110.00 ,1670844895689110.00 ,1670844895689110.00 
1107,2,1,44,-56,585,1670844895690120.00 ,1670844895690120.00 ,1670844895690120.00 
1208,1,1,3704,-57,52,1670844895715830.00 ,1670844895715830.00 ,1670844895715830.00 
1107,1,1,604,-66,221,1670844895716870.00 ,1670844895716870.00 ,1670844895716870.00 
1107,1,1,564,-65,638,1670844895722210.00 ,1670844895722210.00 ,1670844895722210.00 
1208,1,1,3740,-57,-182,1670844895723290.00 ,1670844895723290.00 ,1670844895723290.00 
1107,2,1,52,-56,338,1670844895734580.00 ,1670844895734580.00 ,1670844895734580.00 
1208,2,1,3600,-51,-104,1670844895735690.00 ,1670844895735690.00 ,1670844895735690.00 
1107,2,1,72,-56,-26,1670844895741840.00 ,1670844895741840.00 ,1670844895741840.00 
1208,2,1,3592,-51,-52,1670844895743400.00 ,1670844895743400.00 ,1670844895743400.00 
1208,1,1,3716,-57,26,1670844895766400.00 ,1670844895766400.00 ,1670844895766400.00 
1107,1,1,564,-66,494,1670844895767750.00 ,1670844895767750.00 ,1670844895767750.00 
1208,1,1,3692,-57,78,1670844895773350.00 ,1670844895773350.00 ,1670844895773350.00 
1107,1,1,576,-65,364,1670844895775320.00 ,1670844895775320.00 ,1670844895775320.00 
1107,2,1,64,-56,117,1670844895785950.00 ,1670844895785950.00 ,1670844895785950.00 
1208,2,1,3576,-51,78,1670844895787910.00 ,1670844895787910.00 ,1670844895787910.00 
1107,2,1,84,-56,78,1670844895793230.00 ,1670844895793230.00 ,1670844895793230.00 
1208,2,1,3604,-51,-104,1670844895794360.00 ,1670844895794360.00 ,1670844895794360.00 
1208,1,1,3684,-57,130,1670844895819400.00 ,1670844895819400.00 ,1670844895819400.00 
1107,1,1,636,-65,117,1670844895821760.00 ,1670844895821760.00 ,1670844895821760.00 
1208,1,1,3736,-57,-130,1670844895827190.00 ,1670844895827190.00 ,1670844895827190.00 
1107,1,1,612,-66,169,1670844895828660.00 ,1670844895828660.00 ,1670844895828660.00 
1208,2,1,3596,-51,-52,1670844895840640.00 ,1670844895840640.00 ,1670844895840640.00 
1107,2,1,20,-57,442,1670844895841740.00 ,1670844895841740.00 ,1670844895841740.00 
1107,2,1,100,-56,-169,1670844895845510.00 ,1670844895845510.00 ,1670844895845510.00 
1208,2,1,3572,-52,52,1670844895847700.00 ,1670844895847700.00 ,1670844895847700.00 
1107,1,1,612,-65,195,1670844895871340.00 ,1670844895871340.00 ,1670844895871340.00 
1208,1,1,3652,-57,364,1670844895872820.00 ,1670844895872820.00 ,1670844895872820.00 
1107,1,1,596,-66,169,1670844895877520.00 ,1670844895877520.00 ,1670844895877520.00 
1208,1,1,3736,-57,-234,1670844895879840.00 ,1670844895879840.00 ,1670844895879840.00 
1107,2,1,80,-56,195,1670844895890340.00 ,1670844895890340.00 ,1670844895890340.00 
1208,2,1,3572,-52,104,1670844895891940.00 ,1670844895891940.00 ,1670844895891940.00 
1208,2,1,3576,-52,130,1670844895895710.00 ,1670844895895710.00 ,1670844895895710.00 
1107,2,1,40,-57,390,1670844895898090.00 ,1670844895898090.00 ,1670844895898090.00 
1107,1,1,600,-65,442,1670844895920810.00 ,1670844895920810.00 ,1670844895920810.00 
