1208,1,1,3236,-49,156,1671017262806000.00 ,1671017262806000.00 ,1671017262806000.00 ,,,,,
1107,1,1,688,-61,1666,1671017262807500.00 ,1671017262807500.00 ,1671017262807500.00 ,,,,,
1208,1,1,3208,-49,338,1671017262814300.00 ,1671017262814300.00 ,1671017262814300.00 ,,,,,
1107,1,1,924,-61,52,1671017262815370.00 ,1671017262815370.00 ,1671017262815370.00 ,,,,,
1107,2,1,96,-56,-221,1671017262830390.00 ,1671017262830390.00 ,1671017262830390.00 ,,,,,
1208,2,1,3348,-47,156,1671017262831740.00 ,1671017262831740.00 ,1671017262831740.00 ,,,,,
1208,2,1,3356,-47,130,1671017262838710.00 ,1671017262838710.00 ,1671017262838710.00 ,,,,,
1107,2,1,32,-56,221,1671017262839770.00 ,1671017262839770.00 ,1671017262839770.00 ,,,,,
1208,1,1,3224,-49,234,1671017262862990.00 ,1671017262862990.00 ,1671017262862990.00 ,,,,,
1107,1,1,1072,-62,-755,1671017262865770.00 ,1671017262865770.00 ,1671017262865770.00 ,,,,,
1107,1,1,928,-61,-221,1671017262871890.00 ,1671017262871890.00 ,1671017262871890.00 ,,,,,
1208,1,1,3244,-49,130,1671017262873030.00 ,1671017262873030.00 ,1671017262873030.00 ,,,,,
1107,2,1,56,-56,117,1671017262882340.00 ,1671017262882340.00 ,1671017262882340.00 ,,,,,
1208,2,1,3364,-47,78,1671017262884290.00 ,1671017262884290.00 ,1671017262884290.00 ,,,,,
1107,2,1,68,-56,26,1671017262888810.00 ,1671017262888810.00 ,1671017262888810.00 ,,,,,
1208,2,1,3360,-47,104,1671017262890740.00 ,1671017262890740.00 ,1671017262890740.00 ,,,,,
1208,1,1,3240,-49,156,1671017262915360.00 ,1671017262915360.00 ,1671017262915360.00 ,,,,,
1107,1,1,932,-61,-52,1671017262916410.00 ,1671017262916410.00 ,1671017262916410.00 ,,,,,
1107,1,1,952,-61,-247,1671017262921060.00 ,1671017262921060.00 ,1671017262921060.00 ,,,,,
1208,1,1,3216,-49,312,1671017262922650.00 ,1671017262922650.00 ,1671017262922650.00 ,,,,,
1107,2,1,76,-56,-143,1671017262936140.00 ,1671017262936140.00 ,1671017262936140.00 ,,,,,
1208,2,1,3356,-47,156,1671017262937850.00 ,1671017262937850.00 ,1671017262937850.00 ,,,,,
1208,2,1,3364,-47,78,1671017262941570.00 ,1671017262941570.00 ,1671017262941570.00 ,,,,,
1107,2,1,88,-56,-26,1671017262943490.00 ,1671017262943490.00 ,1671017262943490.00 ,,,,,
1208,1,1,3264,-49,-52,1671017262967000.00 ,1671017262967000.00 ,1671017262967000.00 ,,,,,
1107,1,1,932,-61,221,1671017262968930.00 ,1671017262968930.00 ,1671017262968930.00 ,,,,,
1107,1,1,884,-61,273,1671017262975320.00 ,1671017262975320.00 ,1671017262975320.00 ,,,,,
1208,1,1,3236,-49,104,1671017262976410.00 ,1671017262976410.00 ,1671017262976410.00 ,,,,,
1208,2,1,3360,-47,130,1671017262988520.00 ,1671017262988520.00 ,1671017262988520.00 ,,,,,
1107,2,1,72,-56,52,1671017262991540.00 ,1671017262991540.00 ,1671017262991540.00 ,,,,,
1208,2,1,3368,-47,104,1671017262994740.00 ,1671017262994740.00 ,1671017262994740.00 ,,,,,
1107,2,1,68,-56,-143,1671017262996210.00 ,1671017262996210.00 ,1671017262996210.00 ,,,,,
1208,1,1,3244,-49,104,1671017263020410.00 ,1671017263020410.00 ,1671017263020410.00 ,,,,,
1107,1,1,1000,-61,-611,1671017263022110.00 ,1671017263022110.00 ,1671017263022110.00 ,,,,,
1107,1,1,924,-61,273,1671017263030530.00 ,1671017263030530.00 ,1671017263030530.00 ,,,,,
1208,1,1,3248,-49,130,1671017263031680.00 ,1671017263031680.00 ,1671017263031680.00 ,,,,,
1208,2,1,3352,-47,156,1671017263045040.00 ,1671017263045040.00 ,1671017263045040.00 ,,,,,
1107,2,1,44,-56,299,1671017263047390.00 ,1671017263047390.00 ,1671017263047390.00 ,,,,,
1107,2,1,56,-56,0,1671017263050310.00 ,1671017263050310.00 ,1671017263050310.00 ,,,,,
1208,2,1,3364,-47,78,1671017263053320.00 ,1671017263053320.00 ,1671017263053320.00 ,,,,,
1107,1,1,916,-61,0,1671017263075630.00 ,1671017263075630.00 ,1671017263075630.00 ,,,,,
1208,1,1,3252,-49,52,1671017263077870.00 ,1671017263077870.00 ,1671017263077870.00 ,,,,,
1107,1,1,892,-61,143,1671017263083200.00 ,1671017263083200.00 ,1671017263083200.00 ,,,,,
1208,1,1,3252,-49,52,1671017263085690.00 ,1671017263085690.00 ,1671017263085690.00 ,,,,,
1107,2,1,72,-56,-52,1671017263096960.00 ,1671017263096960.00 ,1671017263096960.00 ,,,,,
1208,2,1,3368,-47,78,1671017263098580.00 ,1671017263098580.00 ,1671017263098580.00 ,,,,,
1208,2,1,3364,-47,78,1671017263103180.00 ,1671017263103180.00 ,1671017263103180.00 ,,,,,
1107,2,1,64,-56,78,1671017263104270.00 ,1671017263104270.00 ,1671017263104270.00 ,,,,,
1208,1,1,3264,-49,78,1671017263127500.00 ,1671017263127500.00 ,1671017263127500.00 ,,,,,
1107,1,1,900,-61,78,1671017263130450.00 ,1671017263130450.00 ,1671017263130450.00 ,,,,,
1107,1,1,912,-62,221,1671017263133990.00 ,1671017263133990.00 ,1671017263133990.00 ,,,,,
1208,1,1,3260,-49,78,1671017263136430.00 ,1671017263136430.00 ,1671017263136430.00 ,,,,,
1107,2,1,116,-56,-390,1671017263152120.00 ,1671017263152120.00 ,1671017263152120.00 ,,,,,
